epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,45480.3,0.52114,0.70743,0.29762,1.03324,0.99579,0.99441,0.99485,0.93212,0.99479,0.99341,0.99479,0.93133,0.44313,0.51718,0.17919,0.87352,0.002773,0.002773,0.002773
75,46092.4,0.51825,0.70529,0.29452,1.03258,0.99582,0.9942,0.99484,0.93225,0.99482,0.9932,0.99478,0.93157,0.44268,0.51638,0.17939,0.87305,0.002674,0.002674,0.002674
76,46706.7,0.51759,0.70536,0.29334,1.0326,0.99599,0.99436,0.99484,0.93244,0.99479,0.99316,0.99478,0.93194,0.44197,0.51554,0.17907,0.8723,0.002575,0.002575,0.002575
77,47319.1,0.51256,0.69858,0.29005,1.03023,0.99559,0.9944,0.99481,0.93257,0.99459,0.9934,0.99477,0.93229,0.44133,0.51497,0.17915,0.87162,0.002476,0.002476,0.002476
78,47931.5,0.51034,0.69719,0.289,1.02775,0.99504,0.9952,0.99482,0.9329,0.99404,0.9942,0.99477,0.93259,0.44051,0.51439,0.17875,0.87072,0.002377,0.002377,0.002377
79,48543.2,0.50977,0.6926,0.28649,1.02553,0.9948,0.99509,0.99482,0.93328,0.9938,0.99409,0.99477,0.93246,0.43994,0.51377,0.179,0.87005,0.002278,0.002278,0.002278
80,49155.2,0.50773,0.69159,0.28664,1.02567,0.9948,0.99501,0.99482,0.93304,0.9938,0.99401,0.99478,0.93253,0.43948,0.51341,0.17828,0.86943,0.002179,0.002179,0.002179
81,49768.4,0.50291,0.68662,0.28424,1.0208,0.9948,0.9946,0.99482,0.93302,0.994,0.9938,0.99477,0.93268,0.43904,0.51318,0.17836,0.86887,0.00208,0.00208,0.00208
82,50382.6,0.50257,0.68549,0.28317,1.01892,0.99577,0.9948,0.99483,0.93349,0.99497,0.994,0.99479,0.93302,0.43869,0.51291,0.17803,0.86863,0.001981,0.001981,0.001981
83,50995.7,0.49948,0.68173,0.28097,1.0167,0.99558,0.9944,0.99483,0.93375,0.99498,0.9938,0.99479,0.93285,0.4382,0.51276,0.17774,0.86841,0.001882,0.001882,0.001882
84,51609.2,0.49486,0.67615,0.27747,1.01522,0.99559,0.99438,0.99483,0.93399,0.99479,0.99358,0.9948,0.93285,0.43779,0.51253,0.17774,0.86809,0.001783,0.001783,0.001783
85,52222.6,0.49324,0.67501,0.27613,1.01397,0.99522,0.9946,0.99484,0.93401,0.99462,0.994,0.99481,0.93278,0.43768,0.51234,0.17773,0.86833,0.001684,0.001684,0.001684
86,52834.2,0.48874,0.66907,0.27313,1.00949,0.99522,0.9946,0.99484,0.93389,0.99462,0.994,0.99481,0.93321,0.43758,0.51216,0.17729,0.86838,0.001585,0.001585,0.001585
87,53447.5,0.48629,0.66722,0.27083,1.0084,0.9946,0.9949,0.99485,0.93406,0.994,0.9943,0.99482,0.93318,0.43762,0.51194,0.17688,0.86847,0.001486,0.001486,0.001486
88,54060.6,0.4847,0.66458,0.27054,1.00569,0.99482,0.9946,0.99485,0.93426,0.99422,0.994,0.99482,0.93321,0.43766,0.51164,0.17749,0.86868,0.001387,0.001387,0.001387
89,54672.7,0.48236,0.65874,0.26877,1.0036,0.9948,0.99439,0.99486,0.93441,0.994,0.99359,0.99483,0.93313,0.43755,0.51112,0.17758,0.86855,0.001288,0.001288,0.001288
90,55285.7,0.47742,0.65517,0.26499,1.00142,0.9948,0.99439,0.99486,0.93452,0.9942,0.99379,0.99486,0.93348,0.43759,0.51085,0.17736,0.86876,0.001189,0.001189,0.001189
